iter	Passed	Remaining
0	136	136697
1	138	69159
2	139	46415
3	140	35001
4	141	28151
5	142	23575
6	143	20299
7	143	17837
8	144	15947
9	145	14419
10	146	13159
11	147	12109
12	147	11217
13	148	10462
14	149	9802
15	149	9220
16	150	8707
17	151	8249
18	153	7911
19	154	7551
20	154	7218
21	155	6914
22	156	6635
23	156	6378
24	157	6142
25	158	5924
26	158	5721
27	159	5547
28	160	5381
29	161	5228
30	162	5084
31	163	4942
32	164	4806
33	164	4681
34	165	4561
35	166	4447
36	167	4349
37	167	4249
38	168	4153
39	169	4060
40	169	3972
41	170	3889
42	171	3809
43	171	3732
44	172	3658
45	173	3590
46	174	3530
47	175	3477
48	176	3420
49	176	3361
50	177	3305
51	178	3250
52	178	3196
53	179	3145
54	180	3095
55	180	3047
56	181	3006
57	182	2963
58	183	2922
59	183	2882
60	184	2842
61	185	2803
62	185	2765
63	186	2728
64	187	2692
65	187	2657
66	188	2628
67	189	2598
68	190	2569
69	191	2539
70	191	2509
71	192	2479
72	193	2451
73	193	2423
74	194	2396
75	194	2369
76	195	2343
77	196	2322
78	197	2300
79	198	2282
80	199	2261
81	200	2241
82	200	2216
83	201	2197
84	202	2177
85	203	2158
86	203	2139
87	204	2120
88	205	2100
89	205	2082
90	206	2064
91	207	2045
92	207	2027
93	208	2010
94	209	1994
95	210	1978
96	210	1963
97	212	1951
98	212	1937
99	213	1922
100	214	1912
101	215	1897
102	216	1883
103	217	1870
104	217	1858
105	218	1845
106	219	1833
107	220	1820
108	221	1808
109	221	1796
110	222	1784
111	223	1771
112	224	1761
113	225	1751
114	226	1741
115	227	1731
116	227	1719
117	228	1709
118	229	1699
119	230	1691
120	232	1691
121	234	1686
122	235	1678
123	236	1669
124	237	1660
125	238	1653
126	239	1648
127	240	1639
128	241	1631
129	242	1622
130	243	1613
131	243	1604
132	244	1594
133	245	1585
134	246	1578
135	247	1570
136	248	1562
137	248	1554
138	249	1546
139	250	1537
140	251	1530
141	251	1522
142	257	1540
143	262	1558
144	265	1563
145	266	1557
146	269	1564
147	275	1587
148	277	1586
149	281	1595
150	282	1588
151	285	1593
152	288	1594
153	294	1615
154	295	1608
155	297	1610
156	298	1604
157	299	1596
158	300	1589
159	301	1583
160	302	1575
161	304	1572
162	304	1565
163	305	1558
164	306	1551
165	307	1543
166	307	1535
167	308	1528
168	309	1521
169	310	1514
170	311	1509
171	312	1505
172	313	1499
173	314	1493
174	315	1486
175	316	1480
176	318	1481
177	319	1476
178	320	1471
179	321	1466
180	323	1462
181	324	1456
182	325	1452
183	327	1450
184	327	1444
185	328	1438
186	329	1431
187	329	1425
188	330	1418
189	331	1411
190	332	1407
191	333	1401
192	333	1396
193	334	1390
194	335	1384
195	336	1379
196	336	1373
197	337	1368
198	338	1362
199	339	1356
200	340	1351
201	340	1346
202	341	1341
203	342	1335
204	342	1329
205	343	1324
206	344	1318
207	344	1313
208	345	1307
209	346	1302
210	347	1298
211	348	1295
212	349	1290
213	350	1286
214	350	1281
215	351	1277
216	352	1272
217	353	1267
218	354	1263
219	355	1259
220	356	1255
221	356	1250
222	357	1246
223	358	1241
224	359	1236
225	359	1232
226	360	1227
227	361	1223
228	362	1219
229	363	1216
230	364	1212
231	365	1208
232	365	1204
233	366	1199
234	367	1195
235	368	1193
236	370	1193
237	371	1190
238	372	1186
239	373	1182
240	374	1177
241	374	1173
242	375	1170
243	377	1169
244	378	1165
245	378	1160
246	379	1156
247	380	1152
248	380	1148
249	381	1144
250	382	1139
251	382	1136
252	384	1133
253	385	1130
254	385	1127
255	386	1123
256	387	1119
257	387	1115
258	388	1111
259	389	1108
260	390	1105
261	391	1102
262	392	1099
263	392	1095
264	394	1093
265	394	1089
266	395	1085
267	395	1081
268	396	1077
269	397	1074
270	398	1072
271	399	1069
272	400	1065
273	400	1061
274	401	1058
275	402	1054
276	402	1051
277	403	1047
278	404	1044
279	405	1042
280	406	1039
281	407	1036
282	408	1033
283	408	1030
284	409	1027
285	410	1023
286	410	1020
287	411	1016
288	412	1014
289	413	1011
290	413	1008
291	414	1005
292	415	1002
293	416	998
294	416	995
295	417	992
296	418	989
297	418	986
298	419	983
299	420	981
300	421	978
301	422	975
302	422	972
303	423	969
304	423	966
305	424	962
306	425	959
307	425	956
308	426	954
309	427	951
310	428	949
311	429	947
312	430	944
313	431	941
314	431	939
315	432	936
316	433	933
317	434	931
318	435	929
319	436	926
320	436	924
321	437	921
322	438	918
323	438	915
324	439	912
325	440	909
326	440	906
327	441	904
328	442	902
329	443	899
330	443	897
331	444	894
332	445	891
333	445	888
334	446	886
335	447	883
336	447	881
337	449	880
338	450	878
339	451	876
340	452	873
341	452	871
342	453	868
343	454	865
344	454	863
345	455	861
346	456	859
347	457	856
348	457	854
349	458	851
350	459	849
351	459	846
352	460	844
353	461	841
354	461	839
355	463	837
356	464	836
357	465	834
358	465	831
359	466	829
360	467	826
361	467	824
362	468	821
363	469	819
364	470	817
365	470	815
366	471	813
367	472	811
368	473	809
369	474	807
370	474	804
371	475	802
372	476	800
373	477	798
374	477	796
375	478	794
376	479	792
377	480	789
378	480	787
379	481	785
380	482	783
381	482	780
382	483	778
383	483	776
384	484	774
385	486	773
386	487	771
387	488	770
388	489	768
389	489	765
390	490	763
391	490	761
392	491	759
393	492	757
394	493	755
395	494	753
396	494	751
397	495	749
398	496	747
399	496	745
400	497	743
401	498	740
402	498	738
403	499	737
404	500	735
405	501	733
406	502	731
407	503	729
408	503	727
409	504	725
410	505	723
411	505	722
412	506	720
413	507	718
414	508	716
415	509	714
416	509	712
417	510	710
418	510	708
419	511	706
420	512	704
421	513	703
422	514	701
423	514	699
424	515	697
425	515	695
426	516	693
427	517	691
428	517	689
429	518	687
430	518	685
431	519	683
432	520	681
433	521	680
434	522	678
435	523	676
436	523	674
437	524	672
438	525	671
439	525	669
440	526	667
441	527	665
442	528	663
443	528	662
444	529	660
445	530	658
446	531	657
447	531	655
448	532	653
449	533	651
450	533	649
451	534	647
452	535	646
453	535	644
454	536	642
455	537	640
456	537	639
457	538	637
458	539	635
459	540	634
460	540	632
461	541	630
462	542	629
463	543	627
464	544	626
465	545	624
466	545	622
467	546	621
468	547	619
469	547	617
470	548	616
471	549	614
472	550	613
473	551	612
474	552	610
475	553	609
476	555	608
477	557	608
478	558	607
479	559	606
480	560	604
481	561	603
482	561	601
483	562	599
484	563	598
485	564	597
486	565	595
487	566	594
488	567	592
489	568	591
490	569	590
491	570	588
492	571	588
493	572	586
494	573	585
495	574	583
496	575	581
497	575	580
498	576	578
499	577	577
500	578	576
501	579	575
502	580	573
503	581	572
504	582	570
505	583	569
506	583	567
507	584	566
508	585	565
509	587	564
510	587	562
511	588	561
512	589	559
513	590	557
514	590	556
515	591	554
516	592	553
517	593	552
518	594	550
519	595	549
520	596	548
521	597	547
522	598	545
523	599	545
524	601	543
525	602	542
526	602	541
527	603	539
528	604	538
529	605	536
530	605	535
531	606	533
532	609	533
533	610	532
534	610	531
535	611	529
536	612	528
537	613	526
538	614	525
539	616	524
540	617	523
541	617	522
542	619	521
543	621	520
544	624	520
545	625	519
546	625	518
547	626	517
548	628	516
549	629	515
550	630	513
551	631	512
552	632	511
553	633	509
554	634	508
555	635	507
556	636	505
557	637	504
558	638	503
559	638	502
560	639	500
561	640	499
562	641	497
563	642	496
564	643	495
565	644	493
566	645	492
567	645	491
568	646	489
569	647	488
570	648	487
571	649	485
572	650	484
573	651	483
574	652	481
575	653	480
576	653	479
577	654	478
578	655	476
579	656	475
580	657	474
581	658	472
582	659	471
583	660	470
584	661	469
585	662	467
586	663	466
587	664	465
588	665	464
589	666	462
590	667	461
591	668	460
592	669	459
593	669	457
594	671	457
595	672	455
596	673	454
597	674	453
598	675	452
599	676	450
600	676	449
601	677	448
602	678	446
603	679	445
604	680	444
605	681	442
606	682	441
607	682	440
608	683	438
609	684	437
610	685	436
611	686	435
612	687	433
613	687	432
614	688	431
615	689	429
616	690	428
617	691	427
618	691	425
619	692	424
620	693	423
621	694	422
622	695	420
